Exchange,ScripCode,ScripName,OrderPrice,TriggerPrice,OrderQty,DisclosedQty,BuySell,OrderType,RMS,PriceType,CustomerID,S2KID,OrderID,ExecQty,ExecPrice,OrderValidity,GTDDate
NSECURR,6321,USDINR 29-Aug-2023,0,84,2,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSEFO,35014,BANKNIFTY 31-Aug-2023,0,45000,30,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSEFO,35015,NIFTY 31-Aug-2023,0,19000,100,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSEFO,48430,VOLTAS 31-Aug-2023,0,700,1200,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,257740,GOLDM 05-Sep-2023,0,59000,200,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,247117,SILVERM 31-Aug-2023,0,70500,10,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,253460,CRUDEOIL 21-Aug-2023,0,6800,200,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,257449,NATURALGAS 28-Aug-2023,0,240,2500,0,SELL,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSECURR,6321,USDINR 29-Aug-2023,0,82,2,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSEFO,35014,BANKNIFTY 31-Aug-2023,0,43000,30,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSEFO,35015,NIFTY 31-Aug-2023,0,17000,100,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
NSEFO,48430,VOLTAS 31-Aug-2023,0,500,1200,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,257740,GOLDM 05-Sep-2023,0,58000,200,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,247117,SILVERM 31-Aug-2023,0,69000,10,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,253460,CRUDEOIL 21-Aug-2023,0,6500,200,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
MCX,257449,NATURALGAS 28-Aug-2023,0,220,2500,0,BUY,NEW,,Market,1744519,1744519,0,0,0,GFD,
